15:26:34 周三 Warning: file< source\datatestdlg.cpp >, line< 543 >: m_totalcount = 499 
15:26:49 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.21 , m_deltaWeight[ 9 ] = 0.0150003 
15:26:50 周三 Warning: file< source\datatestdlg.cpp >, line< 543 >: m_totalcount = 515 
15:26:50 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0299997 , m_deltaWeight[ 0 ] = 0.0299997 
15:26:50 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0450001 , m_deltaWeight[ 1 ] = 0.0150003 
15:26:50 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0799999 , m_deltaWeight[ 2 ] = 0.0349998 
15:26:50 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0950003 , m_deltaWeight[ 3 ] = 0.0150003 
15:26:50 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.11 , m_deltaWeight[ 4 ] = 0.0149994 
15:26:50 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.14 , m_deltaWeight[ 5 ] = 0.0300007 
15:26:50 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.155001 , m_deltaWeight[ 6 ] = 0.0150003 
15:26:50 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.185 , m_deltaWeight[ 7 ] = 0.0299997 
15:26:50 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.205 , m_deltaWeight[ 8 ] = 0.0199995 
15:26:50 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.22 , m_deltaWeight[ 9 ] = 0.0150003 
15:26:51 周三 Warning: file< source\datatestdlg.cpp >, line< 543 >: m_totalcount = 516 
15:26:51 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0299997 , m_deltaWeight[ 0 ] = 0.0299997 
15:26:51 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0450001 , m_deltaWeight[ 1 ] = 0.0150003 
15:26:51 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0799999 , m_deltaWeight[ 2 ] = 0.0349998 
15:26:51 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0950003 , m_deltaWeight[ 3 ] = 0.0150003 
15:26:51 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.11 , m_deltaWeight[ 4 ] = 0.0149994 
15:26:51 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.14 , m_deltaWeight[ 5 ] = 0.0300007 
